ppm,intensity
0.0,0.002066
0.005,0.001817
0.01,0.001855
0.015,0.001145
0.02,0.00263
0.025,0.0024
0.03,0.001886
0.035,0.002271
0.04,0.002098
0.045,0.001806
0.05,0.002342
0.055,0.001891
0.06,0.001885
0.065,0.001723
0.07,0.002159
0.075,0.001965
0.08,0.002191
0.085,0.001787
0.09,0.002044
0.095,0.001688
0.1,0.002295
0.105,0.002066
0.11,0.002116
0.115,0.002144
0.12,0.001646
0.125,0.002274
0.13,0.00272
0.135,0.001427
0.14,0.001395
0.145,0.001473
0.15,0.002295
0.155,0.002045
0.16,0.002377
0.165,0.002253
0.17,0.002074
0.175,0.002099
0.18,0.001941
0.185,0.002304
0.19,0.001605
0.195,0.001852
0.2,0.002085
0.205,0.00263
0.21,0.001732
0.215,0.001622
0.22,0.001803
0.225,0.002339
0.23,0.001918
0.235,0.002464
0.24,0.001345
0.245,0.002395
0.25,0.002362
0.255,0.001503
0.26,0.002054
0.265,0.002426
0.27,0.002031
0.275,0.00235
0.28,0.002831
0.285,0.002096
0.29,0.001902
0.295,0.00173
0.3,0.002227
0.305,0.001931
0.31,0.001937
0.315,0.001963
0.32,0.002227
0.325,0.001627
0.33,0.001465
0.335,0.001148
0.34,0.00242
0.345,0.002026
0.35,0.002529
0.355,0.001997
0.36,0.00174
0.365,0.002167
0.37,0.001973
0.375,0.001561
0.38,0.00169
0.385,0.002618
0.39,0.002124
0.395,0.002146
0.4,0.001903
0.405,0.001759
0.41,0.002312
0.415,0.001963
0.42,0.001734
0.425,0.001953
0.43,0.001683
0.435,0.002067
0.44,0.002395
0.445,0.001707
0.45,0.0025
0.455,0.001766
0.46,0.002054
0.465,0.001707
0.47,0.001922
0.475,0.002017
0.48,0.001848
0.485,0.001754
0.49,0.001763
0.495,0.001713
0.5,0.00145
0.505,0.001908
0.51,0.00214
0.515,0.002318
0.52,0.002226
0.525,0.00286
0.53,0.002112
0.535,0.00184
0.54,0.002655
0.545,0.001633
0.55,0.002339
0.555,0.001666
0.56,0.002124
0.565,0.001311
0.57,0.002315
0.575,0.001945
0.58,0.001661
0.585,0.002587
0.59,0.002268
0.595,0.002016
0.6,0.001739
0.605,0.001985
0.61,0.001943
0.615,0.002254
0.62,0.002279
0.625,0.001766
0.63,0.001808
0.635,0.001814
0.64,0.001528
0.645,0.001793
0.65,0.001968
0.655,0.002242
0.66,0.002462
0.665,0.001717
0.67,0.002193
0.675,0.001844
0.68,0.002726
0.685,0.001983
0.69,0.002176
0.695,0.001672
0.7,0.001716
0.705,0.002071
0.71,0.001866
0.715,0.002124
0.72,0.001453
0.725,0.002232
0.73,0.001685
0.735,0.002603
0.74,0.001899
0.745,0.002384
0.75,0.001512
0.755,0.00215
0.76,0.001689
0.765,0.00183
0.77,0.002009
0.775,0.001889
0.78,0.002092
0.785,0.002262
0.79,0.002228
0.795,0.001969
0.8,0.001523
0.805,0.001718
0.81,0.001931
0.815,0.001257
0.82,0.002263
0.825,0.001916
0.83,0.001912
0.835,0.002332
0.84,0.002234
0.845,0.002077
0.85,0.00165
0.855,0.002109
0.86,0.002121
0.865,0.00169
0.87,0.002365
0.875,0.002178
0.88,0.001311
0.885,0.002043
0.89,0.001557
0.895,0.002398
0.9,0.002282
0.905,0.001614
0.91,0.00169
0.915,0.002036
0.92,0.001916
0.925,0.002534
0.93,0.002259
0.935,0.001901
0.94,0.002202
0.945,0.001289
0.95,0.002108
0.955,0.002303
0.96,0.001937
0.965,0.001751
0.97,0.002198
0.975,0.002686
0.98,0.002072
0.985,0.001608
0.99,0.002506
0.995,0.001343
1.0,0.002176
1.005,0.001796
1.01,0.002326
1.015,0.001703
1.02,0.002463
1.025,0.002105
1.03,0.001396
1.035,0.001309
1.04,0.001889
1.045,0.002453
1.05,0.002044
1.055,0.002023
1.06,0.001917
1.065,0.002258
1.07,0.002132
1.075,0.002098
1.08,0.001655
1.085,0.002416
1.09,0.002477
1.095,0.001545
1.1,0.002806
1.105,0.002253
1.11,0.001829
1.115,0.001333
1.12,0.00223
1.125,0.002195
1.13,0.001792
1.135,0.001373
1.14,0.002394
1.145,0.001794
1.15,0.001835
1.155,0.002996
