ppm,intensity
0.0,0.001772
0.005,0.001939
0.01,0.002582
0.015,0.002231
0.02,0.001426
0.025,0.001998
0.03,0.001782
0.035,0.002052
0.04,0.001437
0.045,0.002085
0.05,0.002082
0.055,0.002551
0.06,0.002111
0.065,0.002179
0.07,0.001477
0.075,0.002788
0.08,0.00133
0.085,0.002386
0.09,0.001885
0.095,0.001692
0.1,0.00177
0.105,0.001765
0.11,0.002133
0.115,0.001961
0.12,0.002519
0.125,0.00136
0.13,0.001999
0.135,0.001688
0.14,0.002272
0.145,0.001259
0.15,0.00188
0.155,0.002074
0.16,0.001481
0.165,0.002345
0.17,0.002063
0.175,0.002352
0.18,0.002336
0.185,0.001657
0.19,0.001721
0.195,0.001929
0.2,0.002262
0.205,0.002298
0.21,0.001752
0.215,0.001787
0.22,0.001721
0.225,0.001796
0.23,0.001917
0.235,0.001954
0.24,0.00272
0.245,0.001823
0.25,0.001899
0.255,0.002161
0.26,0.001666
0.265,0.001871
0.27,0.002005
0.275,0.002271
0.28,0.001539
0.285,0.00248
0.29,0.001877
0.295,0.002059
0.3,0.002296
0.305,0.002231
0.31,0.002371
0.315,0.002061
0.32,0.001993
0.325,0.002111
0.33,0.001651
0.335,0.002425
0.34,0.001729
0.345,0.001559
0.35,0.00272
0.355,0.001952
0.36,0.001587
0.365,0.002648
0.37,0.001885
0.375,0.002372
0.38,0.00171
0.385,0.001913
0.39,0.001409
0.395,0.001332
0.4,0.001658
0.405,0.001973
0.41,0.002279
0.415,0.002849
0.42,0.001639
0.425,0.002353
0.43,0.001788
0.435,0.001947
0.44,0.001482
0.445,0.001482
0.45,0.001728
0.455,0.001582
0.46,0.001999
0.465,0.001754
0.47,0.002438
0.475,0.002054
0.48,0.002058
0.485,0.002398
0.49,0.002181
0.495,0.001987
0.5,0.001968
0.505,0.001958
0.51,0.002377
0.515,0.002274
0.52,0.002128
0.525,0.00228
0.53,0.001809
0.535,0.002179
0.54,0.001506
0.545,0.002472
0.55,0.002032
0.555,0.002064
0.56,0.00221
0.565,0.001997
0.57,0.001911
0.575,0.002416
0.58,0.002041
0.585,0.001679
0.59,0.002154
0.595,0.001403
0.6,0.002579
0.605,0.00194
0.61,0.002016
0.615,0.00279
0.62,0.002753
0.625,0.002041
0.63,0.002219
0.635,0.002382
0.64,0.002589
0.645,0.001954
0.65,0.002047
0.655,0.002429
0.66,0.002094
0.665,0.002264
0.67,0.002213
0.675,0.001603
0.68,0.001699
0.685,0.001076
0.69,0.001909
0.695,0.002469
0.7,0.001612
0.705,0.002432
0.71,0.00235
0.715,0.001981
0.72,0.001997
0.725,0.002029
0.73,0.001699
0.735,0.001901
0.74,0.001984
0.745,0.002214
0.75,0.002277
0.755,0.00174
0.76,0.002289
0.765,0.001728
0.77,0.001941
0.775,0.002129
0.78,0.001992
0.785,0.001956
0.79,0.002094
0.795,0.001807
0.8,0.001772
0.805,0.001929
0.81,0.002336
0.815,0.001964
0.82,0.002667
0.825,0.002075
0.83,0.000959
0.835,0.001846
0.84,0.002583
0.845,0.002002
0.85,0.001847
0.855,0.001694
0.86,0.002463
0.865,0.002351
0.87,0.002235
0.875,0.00215
0.88,0.002504
0.885,0.002287
0.89,0.00157
0.895,0.002269
0.9,0.002059
0.905,0.001961
0.91,0.002267
0.915,0.00201
0.92,0.000973
0.925,0.002545
0.93,0.002363
0.935,0.001957
0.94,0.00187
0.945,0.002079
0.95,0.00155
0.955,0.002107
0.96,0.001919
0.965,0.001876
0.97,0.001677
0.975,0.001762
0.98,0.002387
0.985,0.002467
0.99,0.002176
0.995,0.001984
1.0,0.001693
1.005,0.002251
1.01,0.002564
1.015,0.001435
1.02,0.002411
1.025,0.001242
1.03,0.001881
1.035,0.002135
1.04,0.001522
1.045,0.001469
1.05,0.002065
1.055,0.002307
1.06,0.001834
1.065,0.00247
1.07,0.001727
1.075,0.002614
1.08,0.002042
1.085,0.002082
1.09,0.002215
1.095,0.002112
1.1,0.002646
1.105,0.002772
