ppm,intensity
0.0,0.001719
0.005,0.002085
0.01,0.00142
0.015,0.00223
0.02,0.0024
0.025,0.001842
0.03,0.002151
0.035,0.002088
0.04,0.001862
0.045,0.001698
0.05,0.001289
0.055,0.002494
0.06,0.001983
0.065,0.002883
0.07,0.002289
0.075,0.002097
0.08,0.00177
0.085,0.002487
0.09,0.001823
0.095,0.002549
0.1,0.001861
0.105,0.002065
0.11,0.001467
0.115,0.00282
0.12,0.001967
0.125,0.001865
0.13,0.002284
0.135,0.001688
0.14,0.002269
0.145,0.00159
0.15,0.002191
0.155,0.001635
0.16,0.001357
0.165,0.001792
0.17,0.001488
0.175,0.002194
0.18,0.002008
0.185,0.002178
0.19,0.002032
0.195,0.001876
0.2,0.00201
0.205,0.002368
0.21,0.001936
0.215,0.001733
0.22,0.001661
0.225,0.001922
0.23,0.001738
0.235,0.002658
0.24,0.001588
0.245,0.001621
0.25,0.001893
0.255,0.002228
0.26,0.001906
0.265,0.001665
0.27,0.001718
0.275,0.001877
0.28,0.002341
0.285,0.001658
0.29,0.001968
0.295,0.001785
0.3,0.002114
0.305,0.002139
0.31,0.001487
0.315,0.002835
0.32,0.002066
0.325,0.001822
0.33,0.001687
0.335,0.001909
0.34,0.002011
0.345,0.002208
0.35,0.002002
0.355,0.002169
0.36,0.001437
0.365,0.001737
0.37,0.001648
0.375,0.002058
0.38,0.00216
0.385,0.001487
0.39,0.001941
0.395,0.002254
0.4,0.00232
0.405,0.00161
0.41,0.002197
0.415,0.002118
0.42,0.001847
0.425,0.002687
0.43,0.001608
0.435,0.001903
0.44,0.002159
0.445,0.002085
0.45,0.00194
0.455,0.002482
0.46,0.002506
0.465,0.002319
0.47,0.002351
0.475,0.001981
0.48,0.001592
0.485,0.002766
0.49,0.001665
0.495,0.00278
0.5,0.001956
0.505,0.002081
0.51,0.001941
0.515,0.002335
0.52,0.001822
0.525,0.002645
0.53,0.002187
0.535,0.002061
0.54,0.0018
0.545,0.002098
0.55,0.001999
0.555,0.002665
0.56,0.002328
0.565,0.001454
0.57,0.002535
0.575,0.001169
0.58,0.002539
0.585,0.00134
0.59,0.002
0.595,0.002284
0.6,0.001997
0.605,0.001616
0.61,0.002432
0.615,0.001377
0.62,0.001489
0.625,0.002484
0.63,0.001697
0.635,0.002086
0.64,0.002283
0.645,0.001963
0.65,0.002097
0.655,0.002042
0.66,0.002075
0.665,0.002415
0.67,0.002327
0.675,0.002113
0.68,0.002321
0.685,0.00181
0.69,0.001732
0.695,0.001649
0.7,0.002274
0.705,0.002569
0.71,0.00203
0.715,0.001307
0.72,0.001822
0.725,0.002164
0.73,0.002104
0.735,0.002033
0.74,0.002346
0.745,0.002324
0.75,0.001531
0.755,0.002152
0.76,0.001741
0.765,0.002081
0.77,0.002435
0.775,0.002641
0.78,0.002245
0.785,0.001823
0.79,0.001877
0.795,0.002187
0.8,0.001654
0.805,0.001976
0.81,0.002212
0.815,0.002321
0.82,0.001896
0.825,0.002129
0.83,0.002477
0.835,0.002107
0.84,0.001399
0.845,0.002075
0.85,0.002088
0.855,0.001853
0.86,0.002015
0.865,0.001483
0.87,0.002436
0.875,0.002148
0.88,0.00181
0.885,0.002082
0.89,0.002046
0.895,0.001698
0.9,0.001066
0.905,0.001003
0.91,0.002708
0.915,0.001608
0.92,0.001897
0.925,0.0022
0.93,0.001873
0.935,0.002417
0.94,0.001668
0.945,0.002197
0.95,0.00127
0.955,0.00225
0.96,0.002241
0.965,0.002128
0.97,0.002105
0.975,0.002094
0.98,0.002302
0.985,0.002337
0.99,0.001669
0.995,0.00237
1.0,0.001668
1.005,0.002058
1.01,0.001912
1.015,0.002168
1.02,0.001884
1.025,0.002142
1.03,0.001832
1.035,0.001664
1.04,0.002374
1.045,0.0022
1.05,0.00218
1.055,0.002335
1.06,0.001629
1.065,0.00232
1.07,0.00163
1.075,0.002133
1.08,0.001937
1.085,0.002095
1.09,0.002244
1.095,0.002007
1.1,0.001678
1.105,0.002325
1.11,0.002412
1.115,0.00224
1.12,0.002363
1.125,0.001383
1.13,0.002025
1.135,0.00196
1.14,0.001316
1.145,0.002038
1.15,0.002001
1.155,0.001473
1.16,0.001706
1.165,0.00203
1.17,0.002211
1.175,0.002248
1.18,0.001613
1.185,0.001623
1.19,0.001823
1.195,0.001983
1.2,0.001799
1.205,0.001933
1.21,0.002248
1.215,0.00224
1.22,0.002048
1.225,0.001601
1.23,0.001828
1.235,0.002197
1.24,0.002305
1.245,0.002372
1.25,0.001629
1.255,0.001837
1.26,0.001576
1.265,0.00097
1.27,0.001618
1.275,0.00138
1.28,0.002488
1.285,0.002166
1.29,0.001776
1.295,0.002024
1.3,0.002145
1.305,0.002613
1.31,0.002272
1.315,0.002535
1.32,0.002171
1.325,0.002457
1.33,0.002507
1.335,0.002328
1.34,0.002013
1.345,0.002385
1.35,0.001864
1.355,0.002502
1.36,0.001906
1.365,0.001764
1.37,0.002662
1.375,0.001859
1.38,0.00206
1.385,0.00163
1.39,0.001758
1.395,0.001884
1.4,0.001656
1.405,0.00243
1.41,0.001749
1.415,0.001563
1.42,0.002393
1.425,0.00225
1.43,0.001189
1.435,0.001803
1.44,0.002351
1.445,0.001734
1.45,0.001905
1.455,0.001919
1.46,0.001213
1.465,0.001692
1.47,0.002272
1.475,0.002511
1.48,0.001978
1.485,0.001967
1.49,0.002199
1.495,0.002064
1.5,0.002185
1.505,0.0017
1.51,0.002015
1.515,0.002184
1.52,0.002216
1.525,0.001462
1.53,0.002294
1.535,0.002048
1.54,0.002062
1.545,0.001388
1.55,0.002021
1.555,0.001454
1.56,0.001124
1.565,0.002041
1.57,0.002006
1.575,0.002028
1.58,0.00207
1.585,0.002009
1.59,0.002395
1.595,0.002294
1.6,0.00258
1.605,0.002896
1.61,0.002283
1.615,0.002294
1.62,0.002679
1.625,0.001709
1.63,0.001901
1.635,0.002105
1.64,0.001471
1.645,0.002354
1.65,0.002569
1.655,0.001575
1.66,0.00173
1.665,0.00233
1.67,0.002488
1.675,0.001433
1.68,0.002202
1.685,0.001938
1.69,0.001362
1.695,0.001859
1.7,0.001807
1.705,0.002042
1.71,0.002017
1.715,0.001907
1.72,0.001956
1.725,0.001948
1.73,0.002182
1.735,0.00234
1.74,0.002338
1.745,0.001689
1.75,0.001723
1.755,0.001766
1.76,0.002498
1.765,0.002167
1.77,0.001732
1.775,0.001595
1.78,0.001648
1.785,0.00201
1.79,0.001614
1.795,0.001997
1.8,0.002472
1.805,0.00191
1.81,0.002299
1.815,0.001467
1.82,0.002125
1.825,0.002102
1.83,0.001677
1.835,0.002483
1.84,0.001998
1.845,0.001759
1.85,0.001897
1.855,0.002333
1.86,0.001519
1.865,0.002052
1.87,0.001663
1.875,0.002079
1.88,0.001815
1.885,0.001974
1.89,0.002266
1.895,0.002015
1.9,0.002193
1.905,0.002245
1.91,0.002142
1.915,0.002079
1.92,0.002015
1.925,0.002223
1.93,0.002422
1.935,0.002645
1.94,0.002616
1.945,0.001652
1.95,0.002103
1.955,0.002171
1.96,0.002426
1.965,0.002372
1.97,0.001499
1.975,0.002096
1.98,0.001401
1.985,0.001834
1.99,0.001676
1.995,0.001786
2.0,0.002554
2.005,0.00181
2.01,0.001825
2.015,0.002043
2.02,0.002375
2.025,0.001404
2.03,0.002569
2.035,0.001732
2.04,0.001652
2.045,0.002044
2.05,0.002235
2.055,0.002947
2.06,0.002313
2.065,0.001791
2.07,0.001927
2.075,0.001663
2.08,0.002228
2.085,0.002288
2.09,0.001881
2.095,0.002394
2.1,0.001406
2.105,0.00183
2.11,0.001673
2.115,0.00179
2.12,0.001424
2.125,0.002331
2.13,0.001662
2.135,0.001949
2.14,0.00241
2.145,0.002559
2.15,0.00241
2.155,0.001214
2.16,0.001889
2.165,0.001873
2.17,0.001756
2.175,0.00172
2.18,0.001802
2.185,0.002201
2.19,0.001833
2.195,0.001524
2.2,0.001442
2.205,0.002046
2.21,0.001392
2.215,0.002241
2.22,0.001822
2.225,0.001819
2.23,0.002077
2.235,0.00187
2.24,0.002246
2.245,0.001546
2.25,0.00136
2.255,0.002686
2.26,0.002057
2.265,0.001093
2.27,0.002594
2.275,0.001502
2.28,0.00272
2.285,0.002636
2.29,0.002308
2.295,0.002001
2.3,0.001693
2.305,0.002335
2.31,0.00186
2.315,0.002382
2.32,0.001902
2.325,0.001446
2.33,0.001754
2.335,0.002022
2.34,0.001828
2.345,0.00205
2.35,0.001676
2.355,0.002569
2.36,0.001817
2.365,0.002185
2.37,0.001414
2.375,0.002294
2.38,0.002547
2.385,0.002215
2.39,0.001918
2.395,0.001678
2.4,0.002218
2.405,0.002209
2.41,0.001547
2.415,0.002011
2.42,0.002196
2.425,0.001731
2.43,0.002219
2.435,0.001911
2.44,0.002516
2.445,0.001559
2.45,0.00219
2.455,0.002047
2.46,0.001346
2.465,0.001678
2.47,0.001704
2.475,0.002333
2.48,0.001879
2.485,0.002002
2.49,0.002057
2.495,0.002912
2.5,0.001921
2.505,0.002685
2.51,0.001939
2.515,0.00145
2.52,0.001717
2.525,0.001567
2.53,0.001873
2.535,0.001489
2.54,0.001682
2.545,0.002675
2.55,0.002087
2.555,0.002121
2.56,0.002642
2.565,0.001423
2.57,0.002202
2.575,0.001837
2.58,0.001991
2.585,0.001763
2.59,0.002044
2.595,0.002436
2.6,0.002426
2.605,0.00209
2.61,0.002291
2.615,0.001584
2.62,0.000976
2.625,0.002369
2.63,0.002716
2.635,0.002167
2.64,0.001787
2.645,0.00202
2.65,0.002432
2.655,0.001593
2.66,0.002028
2.665,0.002218
2.67,0.001642
2.675,0.002737
2.68,0.002288
2.685,0.002586
2.69,0.001624
2.695,0.002079
2.7,0.00254
2.705,0.00216
2.71,0.002445
2.715,0.001353
2.72,0.001971
2.725,0.001302
2.73,0.001826
2.735,0.002104
2.74,0.001962
2.745,0.00156
2.75,0.002106
2.755,0.002231
2.76,0.001967
2.765,0.002286
2.77,0.002402
2.775,0.002437
2.78,0.001882
2.785,0.002182
2.79,0.001777
2.795,0.00197
2.8,0.002377
2.805,0.001963
2.81,0.001842
2.815,0.001792
2.82,0.002182
2.825,0.002566
2.83,0.002324
2.835,0.001922
2.84,0.002281
2.845,0.002333
2.85,0.002514
2.855,0.001764
2.86,0.002223
2.865,0.00186
2.87,0.00181
2.875,0.00244
2.88,0.002192
2.885,0.002027
2.89,0.002476
2.895,0.002059
2.9,0.001691
2.905,0.002319
2.91,0.001676
2.915,0.001696
2.92,0.001854
2.925,0.001945
2.93,0.002315
2.935,0.001876
2.94,0.001364
2.945,0.001801
2.95,0.00211
2.955,0.001958
2.96,0.001958
2.965,0.001573
2.97,0.001864
2.975,0.002203
2.98,0.002209
2.985,0.001708
2.99,0.001746
2.995,0.001661
3.0,0.002327
3.005,0.001738
3.01,0.001905
3.015,0.001712
3.02,0.001682
3.025,0.001955
3.03,0.002314
3.035,0.001799
3.04,0.00241
3.045,0.001981
3.05,0.002253
3.055,0.002868
