ppm,intensity
0.0,0.001614
0.005,0.001746
0.01,0.001726
0.015,0.002093
0.02,0.001913
0.025,0.002044
0.03,0.002295
0.035,0.0023
0.04,0.002166
0.045,0.001842
0.05,0.001736
0.055,0.001715
0.06,0.00188
0.065,0.001982
0.07,0.00166
0.075,0.001603
0.08,0.002107
0.085,0.001352
0.09,0.001938
0.095,0.002149
0.1,0.001655
0.105,0.00161
0.11,0.001734
0.115,0.002227
0.12,0.001955
0.125,0.001346
0.13,0.001852
0.135,0.002355
0.14,0.002344
0.145,0.002221
0.15,0.001917
0.155,0.001354
0.16,0.002059
0.165,0.001938
0.17,0.002027
0.175,0.00254
0.18,0.002064
0.185,0.002097
0.19,0.002212
0.195,0.00191
0.2,0.001767
0.205,0.001742
0.21,0.002268
0.215,0.002177
0.22,0.001829
0.225,0.002403
0.23,0.002065
0.235,0.001531
0.24,0.002212
0.245,0.001951
0.25,0.001535
0.255,0.00218
0.26,0.001879
0.265,0.001863
0.27,0.002206
0.275,0.001233
0.28,0.001553
0.285,0.001851
0.29,0.002087
0.295,0.001767
0.3,0.001651
0.305,0.001632
0.31,0.001959
0.315,0.002236
0.32,0.001492
0.325,0.001272
0.33,0.001896
0.335,0.001866
0.34,0.001682
0.345,0.002214
0.35,0.002282
0.355,0.001803
0.36,0.001879
0.365,0.0022
0.37,0.00185
0.375,0.001509
0.38,0.001976
0.385,0.001684
0.39,0.002114
0.395,0.001823
0.4,0.001934
0.405,0.002182
0.41,0.001956
0.415,0.001778
0.42,0.001648
0.425,0.002602
0.43,0.002387
0.435,0.001474
0.44,0.001632
0.445,0.002204
0.45,0.001794
0.455,0.002005
0.46,0.002285
0.465,0.002045
0.47,0.001955
0.475,0.001834
0.48,0.00197
0.485,0.002135
0.49,0.002607
0.495,0.002373
0.5,0.00193
0.505,0.002321
0.51,0.002041
0.515,0.001482
0.52,0.001963
0.525,0.002348
0.53,0.001791
0.535,0.002328
0.54,0.001893
0.545,0.002009
0.55,0.001583
0.555,0.002725
0.56,0.002159
0.565,0.002353
0.57,0.001842
0.575,0.001488
0.58,0.002424
0.585,0.001751
0.59,0.002578
0.595,0.00194
0.6,0.002569
0.605,0.001745
0.61,0.001383
0.615,0.002244
0.62,0.001976
0.625,0.001999
0.63,0.002367
0.635,0.001691
0.64,0.001547
0.645,0.001591
0.65,0.001411
0.655,0.001367
0.66,0.00155
0.665,0.001659
0.67,0.001839
0.675,0.001575
0.68,0.001948
0.685,0.002256
0.69,0.001912
0.695,0.002133
0.7,0.001665
0.705,0.002083
0.71,0.002141
0.715,0.001749
0.72,0.001435
0.725,0.001901
0.73,0.001959
0.735,0.002456
0.74,0.00181
0.745,0.00252
0.75,0.001111
0.755,0.001837
0.76,0.00177
0.765,0.001806
0.77,0.001753
0.775,0.001919
0.78,0.002504
0.785,0.001881
0.79,0.002346
0.795,0.0019
0.8,0.00197
0.805,0.00111
0.81,0.001962
0.815,0.002141
0.82,0.001538
0.825,0.00172
0.83,0.001635
0.835,0.002663
0.84,0.001591
0.845,0.00168
0.85,0.000991
0.855,0.001383
0.86,0.001999
0.865,0.001486
0.87,0.000973
0.875,0.001826
0.88,0.001961
0.885,0.002017
0.89,0.002052
0.895,0.001715
0.9,0.002892
0.905,0.001733
0.91,0.002077
0.915,0.001486
0.92,0.00171
0.925,0.001397
0.93,0.001999
0.935,0.001787
0.94,0.001579
0.945,0.001233
0.95,0.002116
0.955,0.002208
0.96,0.002215
0.965,0.001897
0.97,0.002167
0.975,0.002244
0.98,0.002106
0.985,0.002427
0.99,0.001877
0.995,0.002006
1.0,0.001411
1.005,0.002661
1.01,0.00168
1.015,0.002054
1.02,0.002161
1.025,0.001664
1.03,0.001932
1.035,0.002186
1.04,0.001917
1.045,0.001845
1.05,0.001842
1.055,0.001707
1.06,0.001895
1.065,0.002081
1.07,0.002113
1.075,0.002335
1.08,0.001975
1.085,0.001781
1.09,0.002251
1.095,0.002081
1.1,0.002308
1.105,0.002027
1.11,0.002148
1.115,0.0021
1.12,0.002217
1.125,0.001628
1.13,0.001929
1.135,0.002028
1.14,0.00256
1.145,0.001942
1.15,0.002126
1.155,0.001905
1.16,0.001253
1.165,0.002398
1.17,0.002202
1.175,0.002399
1.18,0.001497
1.185,0.002065
1.19,0.002028
1.195,0.001425
1.2,0.002129
1.205,0.001757
1.21,0.002138
1.215,0.001393
1.22,0.001663
1.225,0.001722
1.23,0.00144
1.235,0.001987
1.24,0.002421
1.245,0.001961
1.25,0.002186
1.255,0.002478
1.26,0.00216
1.265,0.001839
1.27,0.001304
1.275,0.002091
1.28,0.001855
1.285,0.001811
1.29,0.002221
1.295,0.002159
1.3,0.001426
1.305,0.002054
1.31,0.001858
1.315,0.002266
1.32,0.001963
1.325,0.002291
1.33,0.001741
1.335,0.001832
1.34,0.001783
1.345,0.001908
1.35,0.001887
1.355,0.002383
1.36,0.00163
1.365,0.002
1.37,0.001566
1.375,0.001471
1.38,0.001764
1.385,0.001448
1.39,0.002031
1.395,0.001717
1.4,0.001786
1.405,0.002128
1.41,0.00251
1.415,0.001787
1.42,0.001292
1.425,0.001833
1.43,0.00197
1.435,0.002366
1.44,0.001958
1.445,0.001667
1.45,0.002295
1.455,0.002351
1.46,0.00191
1.465,0.002077
1.47,0.002103
1.475,0.002876
1.48,0.001772
1.485,0.001838
1.49,0.001948
1.495,0.002232
1.5,0.00188
1.505,0.002162
1.51,0.002297
1.515,0.00267
1.52,0.001932
1.525,0.001878
1.53,0.001871
1.535,0.001343
1.54,0.001578
1.545,0.002039
1.55,0.00204
1.555,0.002885
1.56,0.002418
1.565,0.002256
1.57,0.002498
1.575,0.001763
1.58,0.001791
1.585,0.001728
1.59,0.001933
1.595,0.002735
1.6,0.001897
1.605,0.001766
1.61,0.002003
1.615,0.00228
1.62,0.002156
1.625,0.002287
1.63,0.001573
1.635,0.001691
1.64,0.001911
1.645,0.002025
1.65,0.002466
1.655,0.001553
1.66,0.002216
1.665,0.001913
1.67,0.002207
1.675,0.001766
1.68,0.00151
1.685,0.002405
1.69,0.002096
1.695,0.001319
1.7,0.002237
1.705,0.001645
1.71,0.001958
1.715,0.001988
1.72,0.001526
1.725,0.002379
1.73,0.001812
1.735,0.00256
1.74,0.002162
1.745,0.002172
1.75,0.002087
1.755,0.00268
1.76,0.001638
1.765,0.001723
1.77,0.001764
1.775,0.002395
1.78,0.00236
1.785,0.002025
1.79,0.002088
1.795,0.001422
1.8,0.002513
1.805,0.001918
1.81,0.002038
1.815,0.001891
1.82,0.002224
1.825,0.001921
1.83,0.002039
1.835,0.002028
1.84,0.00182
1.845,0.001784
1.85,0.002135
1.855,0.002132
1.86,0.002255
1.865,0.002504
1.87,0.001567
1.875,0.001356
1.88,0.001857
1.885,0.002443
1.89,0.001983
1.895,0.001363
1.9,0.002555
1.905,0.002174
1.91,0.001477
1.915,0.001709
1.92,0.002033
1.925,0.001805
1.93,0.001952
1.935,0.00218
1.94,0.002001
1.945,0.002485
1.95,0.001932
1.955,0.00252
1.96,0.001795
1.965,0.001591
1.97,0.001267
1.975,0.001696
1.98,0.002031
1.985,0.002333
1.99,0.000799
1.995,0.001984
2.0,0.001659
2.005,0.002245
2.01,0.001819
2.015,0.002103
2.02,0.002628
2.025,0.002036
2.03,0.001939
2.035,0.002341
2.04,0.0021
2.045,0.001928
2.05,0.001437
2.055,0.001874
2.06,0.001416
2.065,0.002067
2.07,0.002196
2.075,0.002018
2.08,0.002639
2.085,0.001598
2.09,0.002138
2.095,0.002009
2.1,0.001584
2.105,0.002169
2.11,0.002284
2.115,0.002386
2.12,0.001937
2.125,0.002217
2.13,0.001765
2.135,0.002514
2.14,0.002621
2.145,0.002051
2.15,0.002076
2.155,0.001627
2.16,0.002007
2.165,0.00187
2.17,0.002078
2.175,0.001509
2.18,0.002616
2.185,0.002066
2.19,0.002378
2.195,0.002173
2.2,0.001901
2.205,0.002671
2.21,0.00239
2.215,0.001485
2.22,0.001994
2.225,0.001921
2.23,0.001723
2.235,0.002754
2.24,0.001578
2.245,0.002533
2.25,0.001404
2.255,0.002479
2.26,0.001819
2.265,0.001221
2.27,0.002098
2.275,0.002171
2.28,0.001687
2.285,0.002381
2.29,0.001418
2.295,0.002398
2.3,0.00221
2.305,0.00263
2.31,0.001867
2.315,0.002313
2.32,0.001803
2.325,0.002293
2.33,0.002094
2.335,0.002287
2.34,0.001561
2.345,0.002179
2.35,0.002137
2.355,0.002533
2.36,0.001891
2.365,0.001945
2.37,0.002233
2.375,0.002192
2.38,0.00113
2.385,0.00191
2.39,0.002307
2.395,0.001884
2.4,0.001361
2.405,0.001886
2.41,0.001997
2.415,0.001669
2.42,0.002033
2.425,0.001621
2.43,0.001935
2.435,0.00203
2.44,0.00262
2.445,0.002124
2.45,0.002444
2.455,0.002077
2.46,0.001605
2.465,0.001598
2.47,0.002276
2.475,0.001443
2.48,0.001445
2.485,0.002314
2.49,0.001715
2.495,0.001599
2.5,0.002573
2.505,0.001695
2.51,0.002211
2.515,0.001986
2.52,0.002044
2.525,0.002013
2.53,0.002349
2.535,0.002513
2.54,0.001673
2.545,0.002529
2.55,0.001922
2.555,0.001938
2.56,0.002235
2.565,0.001808
2.57,0.001675
2.575,0.002524
2.58,0.001796
2.585,0.00126
2.59,0.000852
2.595,0.002108
2.6,0.001944
2.605,0.002598
2.61,0.00159
2.615,0.001574
2.62,0.002009
2.625,0.002461
2.63,0.002488
2.635,0.002009
2.64,0.001774
2.645,0.002045
2.65,0.002528
2.655,0.001971
2.66,0.001844
2.665,0.002155
2.67,0.00207
2.675,0.002039
2.68,0.002723
2.685,0.002234
2.69,0.002042
2.695,0.001881
2.7,0.001909
2.705,0.002179
2.71,0.002255
2.715,0.001784
2.72,0.001822
2.725,0.00191
2.73,0.001678
2.735,0.002385
2.74,0.001692
2.745,0.002058
2.75,0.002347
2.755,0.001663
2.76,0.001708
2.765,0.001956
2.77,0.00218
2.775,0.002069
2.78,0.002023
2.785,0.00244
2.79,0.001807
2.795,0.00177
2.8,0.002232
2.805,0.002047
2.81,0.002335
2.815,0.002382
2.82,0.001625
2.825,0.00128
2.83,0.002199
2.835,0.001991
2.84,0.002104
2.845,0.001692
2.85,0.002284
2.855,0.001927
2.86,0.002198
2.865,0.002323
2.87,0.002045
2.875,0.001975
2.88,0.001766
2.885,0.002942
2.89,0.001531
2.895,0.002252
2.9,0.001483
2.905,0.00172
2.91,0.002495
2.915,0.001752
2.92,0.002375
2.925,0.001873
2.93,0.002311
2.935,0.001513
2.94,0.00161
2.945,0.002512
2.95,0.00212
2.955,0.001643
2.96,0.001834
2.965,0.001033
2.97,0.001889
2.975,0.001537
2.98,0.001661
2.985,0.002521
2.99,0.001807
2.995,0.001779
3.0,0.001609
3.005,0.002229
3.01,0.002187
3.015,0.001701
3.02,0.001415
3.025,0.001919
3.03,0.002037
3.035,0.0013
3.04,0.002391
3.045,0.001673
3.05,0.002025
3.055,0.001718
3.06,0.001723
3.065,0.002313
3.07,0.002022
3.075,0.00146
3.08,0.002108
3.085,0.002277
3.09,0.001929
3.095,0.002364
3.1,0.001666
3.105,0.00232
3.11,0.002065
3.115,0.002047
3.12,0.002467
3.125,0.002232
3.13,0.001879
3.135,0.002165
3.14,0.001753
3.145,0.002166
3.15,0.002448
3.155,0.002413
3.16,0.001743
3.165,0.001906
3.17,0.002213
3.175,0.002194
3.18,0.001728
3.185,0.002064
3.19,0.002124
3.195,0.002521
3.2,0.002071
3.205,0.001961
3.21,0.001611
3.215,0.001509
3.22,0.00231
3.225,0.002012
3.23,0.001832
3.235,0.002328
3.24,0.002157
3.245,0.001951
3.25,0.002239
3.255,0.001846
3.26,0.00224
3.265,0.002123
3.27,0.00184
3.275,0.001854
3.28,0.001734
3.285,0.002303
3.29,0.001944
3.295,0.001635
3.3,0.002242
3.305,0.002159
3.31,0.001995
3.315,0.002065
3.32,0.001862
3.325,0.001785
3.33,0.002289
3.335,0.001597
3.34,0.001454
3.345,0.001523
3.35,0.002288
3.355,0.001613
3.36,0.001889
3.365,0.001732
3.37,0.001628
3.375,0.001924
3.38,0.001939
3.385,0.002663
3.39,0.001865
3.395,0.002073
3.4,0.002686
3.405,0.002478
3.41,0.002203
3.415,0.002302
3.42,0.001978
3.425,0.00228
3.43,0.002086
3.435,0.001707
3.44,0.002595
3.445,0.001992
3.45,0.002193
3.455,0.001818
3.46,0.001574
3.465,0.001381
3.47,0.000846
3.475,0.002203
3.48,0.001385
3.485,0.001806
3.49,0.00199
3.495,0.001472
3.5,0.001809
3.505,0.00212
3.51,0.001905
3.515,0.002188
3.52,0.001064
3.525,0.002193
3.53,0.002286
3.535,0.001521
3.54,0.002256
3.545,0.001852
3.55,0.001902
3.555,0.002182
3.56,0.001471
3.565,0.002276
3.57,0.001737
3.575,0.002261
3.58,0.001963
3.585,0.002086
3.59,0.001702
3.595,0.001976
3.6,0.001584
3.605,0.001749
3.61,0.001498
3.615,0.001964
3.62,0.001641
3.625,0.002804
3.63,0.00168
3.635,0.001232
3.64,0.002373
3.645,0.001857
3.65,0.002157
3.655,0.002006
3.66,0.00171
3.665,0.001776
3.67,0.001608
3.675,0.002477
3.68,0.002212
3.685,0.001525
3.69,0.002324
3.695,0.002186
3.7,0.001414
3.705,0.001696
3.71,0.002121
3.715,0.002079
3.72,0.002695
3.725,0.001979
3.73,0.00231
3.735,0.00181
3.74,0.001939
3.745,0.001981
3.75,0.001957
3.755,0.00205
3.76,0.002007
3.765,0.001409
3.77,0.002221
3.775,0.001581
3.78,0.002265
3.785,0.002203
3.79,0.00222
3.795,0.001771
3.8,0.00208
3.805,0.002231
3.81,0.001795
3.815,0.001465
3.82,0.002582
3.825,0.001899
3.83,0.001809
3.835,0.001634
3.84,0.001552
3.845,0.001046
3.85,0.001607
3.855,0.001604
3.86,0.001678
3.865,0.002661
3.87,0.001944
3.875,0.001848
3.88,0.002013
3.885,0.001717
