ppm,intensity
0.0,0.002369
0.005,0.002622
0.01,0.001106
0.015,0.001952
0.02,0.002355
0.025,0.002473
0.03,0.002229
0.035,0.002524
0.04,0.002101
0.045,0.002193
0.05,0.002063
0.055,0.001624
0.06,0.001704
0.065,0.002133
0.07,0.001797
0.075,0.002445
0.08,0.002452
0.085,0.00263
0.09,0.001991
0.095,0.002484
0.1,0.001683
0.105,0.001714
0.11,0.002028
0.115,0.002099
0.12,0.00144
0.125,0.001394
0.13,0.002124
0.135,0.001698
0.14,0.002423
0.145,0.002138
0.15,0.002108
0.155,0.002073
0.16,0.002313
0.165,0.001946
0.17,0.00238
0.175,0.001816
0.18,0.001921
0.185,0.001762
0.19,0.002209
0.195,0.002013
0.2,0.001698
0.205,0.002701
0.21,0.001873
0.215,0.001959
0.22,0.002138
0.225,0.002612
0.23,0.001948
0.235,0.002246
0.24,0.002035
0.245,0.001488
0.25,0.002277
0.255,0.002357
0.26,0.001916
0.265,0.001995
0.27,0.001475
0.275,0.001467
0.28,0.001863
0.285,0.002219
0.29,0.001836
0.295,0.002102
0.3,0.002339
0.305,0.002034
0.31,0.002201
0.315,0.002507
0.32,0.001564
0.325,0.00226
0.33,0.00134
0.335,0.002151
0.34,0.002071
0.345,0.00181
0.35,0.001623
0.355,0.001978
0.36,0.001856
0.365,0.002034
0.37,0.001682
0.375,0.002191
0.38,0.001637
0.385,0.001894
0.39,0.001863
0.395,0.002444
0.4,0.001477
0.405,0.001855
0.41,0.002414
0.415,0.00177
0.42,0.001566
0.425,0.002099
0.43,0.001898
0.435,0.002292
0.44,0.001678
0.445,0.002067
0.45,0.002233
0.455,0.002363
0.46,0.001613
0.465,0.002498
0.47,0.001685
0.475,0.001471
0.48,0.001666
0.485,0.002054
0.49,0.001887
0.495,0.002154
0.5,0.002173
0.505,0.002111
0.51,0.001911
0.515,0.002635
0.52,0.001224
0.525,0.001393
0.53,0.001823
0.535,0.001561
0.54,0.001105
0.545,0.001722
0.55,0.001738
0.555,0.001143
0.56,0.002301
0.565,0.002455
0.57,0.002432
0.575,0.001822
0.58,0.002052
0.585,0.001608
0.59,0.002072
0.595,0.001764
0.6,0.002143
0.605,0.00188
0.61,0.002362
0.615,0.002289
0.62,0.002434
0.625,0.001438
0.63,0.001363
0.635,0.002142
0.64,0.001798
0.645,0.002139
0.65,0.002105
0.655,0.002063
0.66,0.002322
0.665,0.002195
0.67,0.002165
0.675,0.001687
0.68,0.002604
0.685,0.002044
0.69,0.002387
0.695,0.002114
0.7,0.002444
0.705,0.002054
0.71,0.002076
0.715,0.002048
0.72,0.001752
0.725,0.0018
0.73,0.001949
0.735,0.001959
0.74,0.001656
0.745,0.002825
0.75,0.001657
0.755,0.001893
0.76,0.002856
0.765,0.001769
0.77,0.002268
0.775,0.002231
0.78,0.001927
0.785,0.0015
0.79,0.001456
0.795,0.001997
0.8,0.002147
0.805,0.001245
0.81,0.002053
0.815,0.001771
0.82,0.002313
0.825,0.002062
0.83,0.001719
0.835,0.001852
0.84,0.002017
0.845,0.002472
0.85,0.003068
0.855,0.002128
0.86,0.002046
0.865,0.002249
0.87,0.002016
0.875,0.002249
0.88,0.002164
0.885,0.002031
0.89,0.001753
0.895,0.002087
0.9,0.002348
0.905,0.002059
0.91,0.002563
0.915,0.002363
0.92,0.001988
0.925,0.002643
0.93,0.001641
0.935,0.002445
0.94,0.002685
0.945,0.001947
0.95,0.002001
0.955,0.002365
0.96,0.002539
0.965,0.002193
0.97,0.002124
0.975,0.002362
0.98,0.002132
0.985,0.001619
0.99,0.001976
0.995,0.002036
1.0,0.001517
1.005,0.002182
1.01,0.001782
1.015,0.002301
1.02,0.00152
1.025,0.001722
1.03,0.001531
1.035,0.002491
1.04,0.002487
1.045,0.002555
1.05,0.002558
1.055,0.002358
1.06,0.002354
1.065,0.001447
1.07,0.002156
1.075,0.001866
1.08,0.001929
1.085,0.001611
1.09,0.002501
1.095,0.002097
1.1,0.001521
1.105,0.002219
