ppm,intensity
0.0,0.001719
0.005,0.001536
0.01,0.001913
0.015,0.002147
0.02,0.002398
0.025,0.002038
0.03,0.001807
0.035,0.001725
0.04,0.002262
0.045,0.002572
0.05,0.002095
0.055,0.001568
0.06,0.001665
0.065,0.00256
0.07,0.002071
0.075,0.001394
0.08,0.001971
0.085,0.001593
0.09,0.00178
0.095,0.001829
0.1,0.00175
0.105,0.002194
0.11,0.001978
0.115,0.001794
0.12,0.002143
0.125,0.00229
0.13,0.001425
0.135,0.00191
0.14,0.001657
0.145,0.001939
0.15,0.001549
0.155,0.002007
0.16,0.001987
0.165,0.001893
0.17,0.001633
0.175,0.001861
0.18,0.001618
0.185,0.001526
0.19,0.002079
0.195,0.001612
0.2,0.00241
0.205,0.002251
0.21,0.001301
0.215,0.002095
0.22,0.001614
0.225,0.002012
0.23,0.002015
0.235,0.001304
0.24,0.001918
0.245,0.00191
0.25,0.002337
0.255,0.001586
0.26,0.002258
0.265,0.001615
0.27,0.001884
0.275,0.001706
0.28,0.002507
0.285,0.002199
0.29,0.002851
0.295,0.002225
0.3,0.002296
0.305,0.002294
0.31,0.001788
0.315,0.001975
0.32,0.002473
0.325,0.001861
0.33,0.002066
0.335,0.001993
0.34,0.002213
0.345,0.001872
0.35,0.001947
0.355,0.002085
0.36,0.002036
0.365,0.001697
0.37,0.002314
0.375,0.001546
0.38,0.00158
0.385,0.001551
0.39,0.002338
0.395,0.001874
0.4,0.00166
0.405,0.001602
0.41,0.002147
0.415,0.001631
0.42,0.001555
0.425,0.002215
0.43,0.001581
0.435,0.001887
0.44,0.001998
0.445,0.001844
0.45,0.001981
0.455,0.002469
0.46,0.001819
0.465,0.001559
0.47,0.001357
0.475,0.001928
0.48,0.001877
0.485,0.002093
0.49,0.001838
0.495,0.001832
0.5,0.001748
0.505,0.001818
0.51,0.002056
0.515,0.001867
0.52,0.002035
0.525,0.002665
0.53,0.002168
0.535,0.001448
0.54,0.002607
0.545,0.002122
0.55,0.001671
0.555,0.002317
0.56,0.002006
0.565,0.001785
0.57,0.001778
0.575,0.001652
0.58,0.002017
0.585,0.002374
0.59,0.001886
0.595,0.002147
0.6,0.002656
0.605,0.001575
0.61,0.00209
0.615,0.001893
0.62,0.001629
0.625,0.001641
0.63,0.001995
0.635,0.002152
0.64,0.001814
0.645,0.002019
0.65,0.002253
0.655,0.002104
0.66,0.002304
0.665,0.002161
0.67,0.002171
0.675,0.002639
0.68,0.002218
0.685,0.002045
0.69,0.002248
0.695,0.001678
0.7,0.001882
0.705,0.002278
0.71,0.002221
0.715,0.002542
0.72,0.002004
0.725,0.001488
0.73,0.002682
0.735,0.002383
0.74,0.001629
0.745,0.002482
0.75,0.002011
0.755,0.001365
0.76,0.001853
0.765,0.001822
0.77,0.002557
0.775,0.001723
0.78,0.001911
0.785,0.001903
0.79,0.001867
0.795,0.00168
0.8,0.002077
0.805,0.002377
0.81,0.002218
0.815,0.001675
0.82,0.001598
0.825,0.002042
0.83,0.001753
0.835,0.001779
0.84,0.001412
0.845,0.002683
0.85,0.002321
0.855,0.001659
