ppm,intensity
0.0,0.002121
0.005,0.002288
0.01,0.002116
0.015,0.001544
0.02,0.002317
0.025,0.002156
0.03,0.001812
0.035,0.002203
0.04,0.002128
0.045,0.002103
0.05,0.00201
0.055,0.002191
0.06,0.001742
0.065,0.001943
0.07,0.001831
0.075,0.00221
0.08,0.002014
0.085,0.001898
0.09,0.001726
0.095,0.00191
0.1,0.002003
0.105,0.001904
0.11,0.002453
0.115,0.002352
0.12,0.001051
0.125,0.001339
0.13,0.001939
0.135,0.001852
0.14,0.002075
0.145,0.002076
0.15,0.002741
0.155,0.001611
0.16,0.001868
0.165,0.002715
0.17,0.002226
0.175,0.002232
0.18,0.00182
0.185,0.001423
0.19,0.002059
0.195,0.002038
0.2,0.00157
0.205,0.001761
0.21,0.001975
0.215,0.001669
0.22,0.001966
0.225,0.002033
0.23,0.002012
0.235,0.001823
0.24,0.002208
0.245,0.002312
0.25,0.002112
0.255,0.001714
0.26,0.002256
0.265,0.001824
0.27,0.002308
0.275,0.001625
0.28,0.00232
0.285,0.001993
0.29,0.001563
0.295,0.00189
0.3,0.002019
0.305,0.002095
0.31,0.001656
0.315,0.001612
0.32,0.00207
0.325,0.001837
0.33,0.002082
0.335,0.002266
0.34,0.001423
0.345,0.002089
0.35,0.002429
0.355,0.001896
0.36,0.001716
0.365,0.002263
0.37,0.002089
0.375,0.002314
0.38,0.001879
0.385,0.001481
0.39,0.001961
0.395,0.001844
0.4,0.002271
0.405,0.002068
0.41,0.001429
0.415,0.001582
0.42,0.002309
0.425,0.002238
0.43,0.001776
0.435,0.002
0.44,0.002156
0.445,0.002164
0.45,0.002307
0.455,0.00209
0.46,0.001967
0.465,0.001909
0.47,0.00237
0.475,0.001212
0.48,0.001951
0.485,0.002012
0.49,0.001501
0.495,0.002116
0.5,0.001772
0.505,0.002302
0.51,0.001956
0.515,0.002234
0.52,0.002427
0.525,0.002134
0.53,0.001693
0.535,0.00147
0.54,0.002614
0.545,0.001961
0.55,0.001759
0.555,0.00205
0.56,0.001933
0.565,0.002298
0.57,0.002012
0.575,0.002005
0.58,0.00175
0.585,0.002164
0.59,0.001638
0.595,0.002233
0.6,0.002533
0.605,0.001466
0.61,0.001137
0.615,0.002216
0.62,0.002892
0.625,0.00165
0.63,0.001562
0.635,0.002206
0.64,0.001706
0.645,0.001823
0.65,0.001878
0.655,0.002186
0.66,0.001858
0.665,0.002097
0.67,0.001938
0.675,0.001704
0.68,0.001888
0.685,0.001667
0.69,0.002002
0.695,0.001607
0.7,0.001617
0.705,0.00251
0.71,0.001981
0.715,0.001981
0.72,0.002179
0.725,0.001853
0.73,0.00192
0.735,0.002149
0.74,0.002099
0.745,0.001594
0.75,0.002292
0.755,0.001793
0.76,0.00163
0.765,0.001685
0.77,0.001863
0.775,0.00257
0.78,0.001589
0.785,0.002056
0.79,0.001252
0.795,0.001999
0.8,0.002315
0.805,0.001917
0.81,0.00178
0.815,0.002081
0.82,0.002245
0.825,0.002232
0.83,0.00269
0.835,0.002073
0.84,0.001793
0.845,0.001956
0.85,0.001975
0.855,0.002038
0.86,0.001989
0.865,0.002061
0.87,0.001415
0.875,0.00229
0.88,0.001799
0.885,0.001589
0.89,0.002223
0.895,0.002461
0.9,0.002173
0.905,0.002056
0.91,0.001674
0.915,0.003005
0.92,0.002308
0.925,0.001601
0.93,0.001727
0.935,0.00203
0.94,0.001456
0.945,0.002059
0.95,0.001839
0.955,0.002429
0.96,0.002337
0.965,0.001051
0.97,0.002015
0.975,0.001434
0.98,0.002388
0.985,0.002059
0.99,0.002192
0.995,0.001627
1.0,0.00264
1.005,0.002707
1.01,0.001627
1.015,0.00213
1.02,0.001764
1.025,0.001992
1.03,0.001557
1.035,0.002654
1.04,0.001661
1.045,0.001896
1.05,0.002176
1.055,0.001773
1.06,0.001916
1.065,0.001803
1.07,0.001953
1.075,0.00159
1.08,0.001847
1.085,0.001928
1.09,0.001883
1.095,0.00202
1.1,0.001899
1.105,0.002272
1.11,0.001915
1.115,0.002046
1.12,0.002053
1.125,0.002626
1.13,0.003684
1.135,0.007346
1.14,0.01321
1.145,0.025904
1.15,0.048688
1.155,0.085195
1.16,0.139007
1.165,0.210952
1.17,0.298873
1.175,0.390917
1.18,0.473374
1.185,0.532928
1.19,0.555621
1.195,0.54018
1.2,0.494491
1.205,0.434531
1.21,0.383403
1.215,0.362089
1.22,0.389132
1.225,0.466022
1.23,0.587459
1.235,0.733124
1.24,0.870769
1.245,0.970243
1.25,1.006134
1.255,0.970108
1.26,0.870979
