ppm,intensity
0.0,0.001392
0.005,0.001532
0.01,0.001524
0.015,0.001877
0.02,0.001191
0.025,0.001934
0.03,0.001665
0.035,0.002313
0.04,0.002335
0.045,0.002487
0.05,0.002269
0.055,0.001981
0.06,0.002301
0.065,0.002527
0.07,0.001771
0.075,0.002214
0.08,0.001985
0.085,0.002504
0.09,0.001707
0.095,0.001894
0.1,0.002127
0.105,0.00209
0.11,0.001426
0.115,0.002126
0.12,0.001959
0.125,0.001916
0.13,0.001946
0.135,0.002077
0.14,0.001364
0.145,0.002543
0.15,0.001698
0.155,0.001216
0.16,0.001971
0.165,0.00251
0.17,0.001818
0.175,0.002543
0.18,0.002545
0.185,0.001698
0.19,0.001137
0.195,0.001568
0.2,0.002416
0.205,0.001714
0.21,0.001471
0.215,0.001532
0.22,0.002
0.225,0.001991
0.23,0.002305
0.235,0.002346
0.24,0.001674
0.245,0.001945
0.25,0.001603
0.255,0.002025
0.26,0.001597
0.265,0.00158
0.27,0.002743
0.275,0.002011
0.28,0.002225
0.285,0.002888
0.29,0.002275
0.295,0.00196
0.3,0.002019
0.305,0.001739
0.31,0.002383
0.315,0.001884
0.32,0.002617
0.325,0.001879
0.33,0.001876
0.335,0.001853
0.34,0.002219
0.345,0.002065
0.35,0.00248
0.355,0.001806
0.36,0.002102
0.365,0.002678
0.37,0.001916
0.375,0.002186
0.38,0.00255
0.385,0.002194
0.39,0.001778
0.395,0.001278
0.4,0.002838
0.405,0.002151
0.41,0.002441
0.415,0.001833
0.42,0.002636
0.425,0.002182
0.43,0.002017
0.435,0.001684
0.44,0.002129
0.445,0.00183
0.45,0.001922
0.455,0.001432
0.46,0.001828
0.465,0.002056
0.47,0.001562
0.475,0.002026
0.48,0.002232
0.485,0.001893
0.49,0.001783
0.495,0.001783
0.5,0.002329
0.505,0.001463
0.51,0.001895
0.515,0.001853
0.52,0.00205
0.525,0.001976
0.53,0.001612
0.535,0.002714
0.54,0.002062
0.545,0.00153
0.55,0.001688
0.555,0.002034
0.56,0.002215
0.565,0.00153
0.57,0.002249
0.575,0.001519
0.58,0.001722
0.585,0.002299
0.59,0.002595
0.595,0.00197
0.6,0.001892
0.605,0.002444
0.61,0.001625
0.615,0.002097
0.62,0.002082
