ppm,intensity
0.0,0.002714
0.005,0.001106
0.01,0.002146
0.015,0.001801
0.02,0.001842
0.025,0.001925
0.03,0.001293
0.035,0.001919
0.04,0.001697
0.045,0.003163
0.05,0.002079
0.055,0.001877
0.06,0.001902
0.065,0.001766
0.07,0.001631
0.075,0.001863
0.08,0.002169
0.085,0.001917
0.09,0.002335
0.095,0.00193
0.1,0.002008
0.105,0.002541
0.11,0.002191
0.115,0.001823
0.12,0.001936
0.125,0.002189
0.13,0.002677
0.135,0.001906
0.14,0.001915
0.145,0.002351
0.15,0.00169
0.155,0.001898
0.16,0.002309
0.165,0.002203
0.17,0.002032
0.175,0.002235
0.18,0.00101
0.185,0.002357
0.19,0.001664
0.195,0.001416
0.2,0.002097
0.205,0.002245
0.21,0.001844
0.215,0.001623
0.22,0.002009
0.225,0.001982
0.23,0.002492
0.235,0.002262
0.24,0.002068
0.245,0.002389
0.25,0.001928
0.255,0.001676
0.26,0.002204
0.265,0.002204
0.27,0.001925
0.275,0.001726
0.28,0.00208
0.285,0.001127
0.29,0.002242
0.295,0.002172
0.3,0.001426
0.305,0.002021
0.31,0.001663
0.315,0.002265
0.32,0.001288
0.325,0.00168
0.33,0.002248
0.335,0.002405
0.34,0.001245
0.345,0.001826
0.35,0.002115
0.355,0.001787
0.36,0.002557
0.365,0.001583
0.37,0.002124
0.375,0.001633
0.38,0.002492
0.385,0.001992
0.39,0.00187
0.395,0.001399
0.4,0.002589
0.405,0.002263
0.41,0.002264
0.415,0.002398
0.42,0.002122
0.425,0.001776
0.43,0.00172
0.435,0.00172
0.44,0.00248
0.445,0.001489
0.45,0.001791
0.455,0.001888
0.46,0.002079
0.465,0.002201
0.47,0.001563
0.475,0.001394
0.48,0.001998
0.485,0.002425
0.49,0.002265
0.495,0.002075
0.5,0.001889
0.505,0.002103
0.51,0.001915
0.515,0.002286
0.52,0.001722
0.525,0.002047
0.53,0.001961
0.535,0.00219
0.54,0.002079
0.545,0.002893
0.55,0.002525
0.555,0.002524
0.56,0.001286
0.565,0.001881
0.57,0.001787
0.575,0.002186
0.58,0.001202
0.585,0.002411
0.59,0.002373
0.595,0.001544
0.6,0.001658
0.605,0.00172
0.61,0.002015
0.615,0.002224
0.62,0.002717
0.625,0.001931
0.63,0.002269
0.635,0.002054
0.64,0.002616
0.645,0.00226
0.65,0.002479
0.655,0.001623
0.66,0.001933
0.665,0.001715
0.67,0.002527
0.675,0.00223
0.68,0.001893
0.685,0.001842
0.69,0.00217
0.695,0.001754
0.7,0.001674
0.705,0.002168
0.71,0.002862
0.715,0.001914
0.72,0.001805
0.725,0.00159
0.73,0.001533
0.735,0.002184
0.74,0.002298
0.745,0.002003
0.75,0.002116
0.755,0.002041
0.76,0.002049
0.765,0.001466
0.77,0.00184
0.775,0.002039
0.78,0.001726
0.785,0.001833
0.79,0.001713
0.795,0.001883
0.8,0.002299
0.805,0.001858
0.81,0.001946
0.815,0.002285
0.82,0.002226
0.825,0.002593
0.83,0.001268
0.835,0.0023
0.84,0.001831
0.845,0.002047
0.85,0.002293
0.855,0.002379
0.86,0.002364
0.865,0.002054
0.87,0.002563
0.875,0.001901
0.88,0.001951
0.885,0.00228
0.89,0.001807
0.895,0.002757
0.9,0.002358
0.905,0.002767
0.91,0.002011
0.915,0.001934
0.92,0.002266
0.925,0.002847
0.93,0.003341
0.935,0.005889
0.94,0.010438
0.945,0.02014
0.95,0.035631
0.955,0.062769
0.96,0.101519
0.965,0.154144
0.97,0.217555
0.975,0.284379
0.98,0.345266
0.985,0.388402
0.99,0.40515
0.995,0.394592
1.0,0.362258
1.005,0.319903
1.01,0.285558
1.015,0.275178
1.02,0.300661
1.025,0.367611
1.03,0.466795
1.035,0.58519
1.04,0.696244
1.045,0.776463
1.05,0.805069
1.055,0.775781
1.06,0.696375
1.065,0.584765
1.07,0.467346
1.075,0.36736
1.08,0.301177
1.085,0.275208
1.09,0.285198
1.095,0.319743
1.1,0.360938
1.105,0.394318
1.11,0.404673
1.115,0.388433
1.12,0.345659
1.125,0.284112
1.13,0.217855
1.135,0.154436
1.14,0.101378
1.145,0.062589
1.15,0.035702
1.155,0.018956
1.16,0.010351
1.165,0.005704
1.17,0.003584
1.175,0.002158
1.18,0.002423
1.185,0.002325
1.19,0.00162
1.195,0.001775
1.2,0.001973
1.205,0.001802
1.21,0.00261
1.215,0.002073
1.22,0.001646
1.225,0.001724
1.23,0.00198
1.235,0.002804
1.24,0.001938
1.245,0.002045
1.25,0.00218
1.255,0.001986
1.26,0.002798
1.265,0.001814
1.27,0.00226
1.275,0.002056
1.28,0.002217
1.285,0.001588
1.29,0.002619
1.295,0.001957
1.3,0.002012
1.305,0.001673
1.31,0.001745
1.315,0.002197
1.32,0.002345
1.325,0.002264
1.33,0.002423
1.335,0.00225
1.34,0.00201
1.345,0.002293
1.35,0.002208
1.355,0.001965
1.36,0.002254
1.365,0.00245
1.37,0.002082
1.375,0.001875
1.38,0.002252
1.385,0.002665
1.39,0.001926
1.395,0.001968
1.4,0.001952
1.405,0.002428
1.41,0.001357
1.415,0.002128
1.42,0.002417
1.425,0.001715
1.43,0.002521
1.435,0.002187
1.44,0.001808
1.445,0.002071
1.45,0.001463
1.455,0.001802
1.46,0.002639
1.465,0.001687
1.47,0.002646
1.475,0.001971
1.48,0.002348
1.485,0.002015
1.49,0.001215
1.495,0.0018
1.5,0.002066
1.505,0.001597
1.51,0.001528
1.515,0.002128
1.52,0.001773
1.525,0.001406
1.53,0.001761
1.535,0.002301
1.54,0.001834
1.545,0.002327
1.55,0.002535
1.555,0.002011
1.56,0.001605
1.565,0.001544
1.57,0.001991
1.575,0.002308
1.58,0.002094
1.585,0.002192
1.59,0.001845
1.595,0.002105
1.6,0.001835
1.605,0.001886
1.61,0.001548
1.615,0.00145
1.62,0.001831
1.625,0.001612
1.63,0.001664
1.635,0.002235
1.64,0.001963
1.645,0.00302
1.65,0.002324
1.655,0.001778
