ppm,intensity
0.0,0.002
0.005,0.002105
0.01,0.001904
0.015,0.001688
0.02,0.001841
0.025,0.001653
0.03,0.002021
0.035,0.002469
0.04,0.001828
0.045,0.001783
0.05,0.002171
0.055,0.002125
0.06,0.002037
0.065,0.001674
0.07,0.00199
0.075,0.002243
0.08,0.00153
0.085,0.00184
0.09,0.001335
0.095,0.001549
0.1,0.001355
0.105,0.001918
0.11,0.001556
0.115,0.002095
0.12,0.002055
0.125,0.001935
0.13,0.001119
0.135,0.001811
0.14,0.001983
0.145,0.00204
0.15,0.001464
0.155,0.001833
0.16,0.001658
0.165,0.001717
0.17,0.002371
0.175,0.001717
0.18,0.001989
0.185,0.00231
0.19,0.001796
0.195,0.001961
0.2,0.002039
0.205,0.002022
0.21,0.001571
0.215,0.002027
0.22,0.002476
0.225,0.001458
0.23,0.002301
0.235,0.002042
0.24,0.001775
0.245,0.0027
0.25,0.002267
0.255,0.00158
0.26,0.002026
0.265,0.002202
0.27,0.001934
0.275,0.002239
0.28,0.001977
0.285,0.002234
0.29,0.002503
0.295,0.001764
0.3,0.002071
0.305,0.001838
0.31,0.002045
0.315,0.001584
0.32,0.001797
0.325,0.001931
0.33,0.002315
0.335,0.002401
0.34,0.001537
0.345,0.001722
0.35,0.002226
0.355,0.001303
0.36,0.001838
0.365,0.001966
0.37,0.00244
0.375,0.002241
0.38,0.001885
0.385,0.001871
0.39,0.001912
0.395,0.002533
0.4,0.00185
0.405,0.001894
0.41,0.002123
0.415,0.001958
0.42,0.001931
0.425,0.00161
0.43,0.001996
0.435,0.001845
0.44,0.002408
0.445,0.002229
0.45,0.001992
0.455,0.002234
0.46,0.001881
0.465,0.002368
0.47,0.001998
0.475,0.002204
0.48,0.001548
0.485,0.002121
0.49,0.001409
0.495,0.001288
0.5,0.001893
0.505,0.001685
0.51,0.002057
0.515,0.002786
0.52,0.001709
0.525,0.001782
0.53,0.002072
0.535,0.002173
0.54,0.001938
0.545,0.001928
0.55,0.002246
0.555,0.002182
0.56,0.001638
0.565,0.001972
0.57,0.002012
0.575,0.001631
0.58,0.002091
0.585,0.0017
0.59,0.00234
0.595,0.002067
0.6,0.002031
0.605,0.001793
0.61,0.001958
0.615,0.001301
0.62,0.001604
0.625,0.002127
0.63,0.001255
0.635,0.002296
0.64,0.001389
0.645,0.002265
0.65,0.001704
0.655,0.002273
0.66,0.002046
0.665,0.001462
0.67,0.002437
0.675,0.002505
0.68,0.001977
0.685,0.001904
0.69,0.001944
0.695,0.001659
0.7,0.002385
0.705,0.00181
0.71,0.001982
0.715,0.001722
0.72,0.001781
0.725,0.001553
0.73,0.00244
0.735,0.001946
0.74,0.002338
0.745,0.002005
0.75,0.001757
0.755,0.001886
0.76,0.001804
0.765,0.002003
